Title_0.0,Title_1.0,Title_2.0,Title_3.0,Title_4.0,Pclass_1,Pclass_2,Pclass_3,Family_survival_0.0,Family_survival_0.5,Family_survival_1.0,Sex,Embarked,SibSp,Parch,Ticket,Family_size,Age
True,False,False,False,False,False,False,True,False,True,False,0,0,1,0,5,2,22.0
False,False,True,False,False,True,False,False,False,True,False,1,1,1,0,17599,2,38.0
False,True,False,False,False,False,False,True,False,True,False,1,0,0,0,2,1,26.0
False,False,True,False,False,True,False,False,False,False,True,1,0,1,0,113803,2,35.0
True,False,False,False,False,False,False,True,False,True,False,0,0,0,0,373450,1,35.0
True,False,False,False,False,False,False,True,False,True,False,0,2,0,0,330877,1,27.69994951757252
True,False,False,False,False,True,False,False,False,True,False,0,0,0,0,17463,1,54.0
False,False,False,True,False,False,False,True,False,False,True,0,0,3,1,349909,5,2.0
False,False,True,False,False,False,False,True,True,False,False,1,0,0,2,347742,3,27.0
False,False,True,False,False,False,True,False,False,False,True,1,1,1,0,237736,2,14.0
False,True,False,False,False,False,False,True,True,False,False,1,0,1,1,9549,3,4.0
False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,113783,1,58.0
True,False,False,False,False,False,False,True,False,True,False,0,0,0,0,5,1,20.0
True,False,False,False,False,False,False,True,False,False,True,0,0,1,5,347082,7,39.0
False,True,False,False,False,False,False,True,False,True,False,1,0,0,0,350406,1,14.0
False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,248706,1,55.0
False,False,False,True,False,False,False,True,False,False,True,0,2,4,1,382652,6,2.0
True,False,False,False,False,False,True,False,False,True,False,0,0,0,0,244373,1,33.650495810570234
False,False,True,False,False,False,False,True,False,False,True,1,0,1,0,345763,2,31.0
False,False,True,False,False,False,False,True,False,True,False,1,1,0,0,2649,1,24.26869645203811
True,False,False,False,False,False,True,False,False,False,True,0,0,0,0,239865,1,35.0
True,False,False,False,False,False,True,False,False,True,False,0,0,0,0,248698,1,34.0
False,True,False,False,False,False,False,True,False,True,False,1,2,0,0,330923,1,15.0
True,False,False,False,False,True,False,False,False,True,False,0,0,0,0,113788,1,28.0
False,True,False,False,False,False,False,True,False,False,True,1,0,3,1,349909,5,8.0
False,False,True,False,False,False,False,True,False,False,True,1,0,1,5,347077,7,38.0
True,False,False,False,False,False,False,True,False,True,False,0,1,0,0,2631,1,27.660783714133984
True,False,False,False,False,True,False,False,False,False,True,0,0,3,2,19950,6,19.0
False,True,False,False,False,False,False,True,False,True,False,1,2,0,0,330959,1,25.170114339722986
True,False,False,False,False,False,False,True,False,True,False,0,0,0,0,349216,1,27.66188044832195
False,False,False,False,True,True,False,False,False,True,False,0,1,0,0,17601,1,40.0
False,False,True,False,False,True,False,False,True,False,False,1,1,1,0,17569,2,36.08792859046282
False,True,False,False,False,False,False,True,False,True,False,1,2,0,0,335677,1,25.170549673168267
True,False,False,False,False,False,True,False,False,True,False,0,0,0,0,24579,1,66.0
True,False,False,False,False,True,False,False,True,False,False,0,1,1,0,17604,2,28.0
True,False,False,False,False,True,False,False,True,False,False,0,0,1,0,113789,2,42.0
True,False,False,False,False,False,False,True,False,True,False,0,1,0,0,2677,1,27.66078206482965
True,False,False,False,False,False,False,True,False,True,False,0,0,0,0,5,1,21.0
False,True,False,False,False,False,False,True,False,False,True,1,0,2,0,345764,3,18.0
