iter	Passed	Remaining
0	0	21
1	0	18
2	0	16
3	0	15
4	0	14
5	0	14
6	1	14
7	1	13
8	1	13
9	1	12
10	1	12
11	1	12
12	1	12
13	1	11
14	2	11
15	2	11
16	2	11
17	2	11
18	2	11
19	2	11
20	2	10
21	3	10
22	3	10
23	3	10
24	3	10
25	3	10
26	3	10
27	3	9
28	4	9
29	4	9
30	4	9
31	4	9
32	4	9
33	4	8
34	4	8
35	4	8
36	4	8
37	5	8
38	5	8
39	5	8
40	5	8
41	5	7
42	5	7
43	6	7
44	6	7
45	6	7
46	6	7
47	6	7
48	6	6
49	6	6
50	6	6
51	6	6
52	6	6
53	7	6
54	7	5
55	7	5
56	7	5
57	7	5
58	7	5
59	7	5
60	7	4
61	7	4
62	7	4
63	8	4
64	8	4
65	8	4
66	8	4
67	8	4
68	8	3
69	8	3
70	8	3
71	8	3
72	9	3
73	9	3
74	9	3
75	9	2
76	9	2
77	9	2
78	9	2
79	9	2
80	9	2
81	9	2
82	10	2
83	10	1
84	10	1
85	10	1
86	10	1
87	10	1
88	10	1
89	10	1
90	10	1
91	10	0
92	11	0
93	11	0
94	11	0
95	11	0
96	11	0
97	11	0
98	11	0
99	11	0
