Pclass,Sex,Embarked,SibSp,Parch,Fare,Title,Ticket,Family_survival,Family_size,Cabin,Age
3,0,0,1,0,7.25,0.0,5,0.5,2,8,22.0
1,1,1,1,0,71.2833,2.0,17599,0.5,2,2,38.0
3,1,0,0,0,7.925,1.0,2,0.5,1,8,26.0
1,1,0,1,0,53.1,2.0,113803,1.0,2,2,35.0
3,0,0,0,0,8.05,0.0,373450,0.5,1,8,35.0
3,0,2,0,0,8.4583,0.0,330877,0.5,1,8,28.09219023564532
1,0,0,0,0,51.8625,0.0,17463,0.5,1,4,54.0
3,0,0,3,1,21.075,3.0,349909,1.0,5,8,2.0
3,1,0,0,2,11.1333,2.0,347742,0.0,3,8,27.0
2,1,1,1,0,30.0708,2.0,237736,1.0,2,8,14.0
3,1,0,1,1,16.7,1.0,9549,0.0,3,6,4.0
1,1,0,0,0,26.55,1.0,113783,0.5,1,2,58.0
3,0,0,0,0,8.05,0.0,5,0.5,1,8,20.0
3,0,0,1,5,31.275,0.0,347082,1.0,7,8,39.0
3,1,0,0,0,7.8542,1.0,350406,0.5,1,8,14.0
2,1,0,0,0,16.0,2.0,248706,0.5,1,8,55.0
3,0,2,4,1,29.125,3.0,382652,1.0,6,8,2.0
2,0,0,0,0,13.0,0.0,244373,0.5,1,8,34.893163661247634
3,1,0,1,0,18.0,2.0,345763,1.0,2,8,31.0
3,1,1,0,0,7.225,2.0,2649,0.5,1,8,24.58182267195886
2,0,0,0,0,26.0,0.0,239865,1.0,1,8,35.0
2,0,0,0,0,13.0,0.0,248698,0.5,1,3,34.0
3,1,2,0,0,8.0292,1.0,330923,0.5,1,8,15.0
1,0,0,0,0,35.5,0.0,113788,0.5,1,0,28.0
3,1,0,3,1,21.075,1.0,349909,1.0,5,8,8.0
3,1,0,1,5,31.3875,2.0,347077,1.0,7,8,38.0
3,0,1,0,0,7.225,0.0,2631,0.5,1,8,28.276400184478558
1,0,0,3,2,263.0,0.0,19950,1.0,6,2,19.0
3,1,2,0,0,7.8792,1.0,330959,0.5,1,8,25.037832786758052
3,0,0,0,0,7.8958,0.0,349216,0.5,1,8,28.616925736426147
1,0,1,0,0,27.7208,4.0,17601,0.5,1,8,40.0
1,1,1,1,0,146.5208,2.0,17569,0.0,2,1,32.66711819454081
3,1,2,0,0,7.75,1.0,335677,0.5,1,8,25.041152281560326
